Tokenizer,lowercase,N-gram,Min_df,Max_df,Accuracy
Vectorizer.Count,False,3,1,710,0.92856221792392
Vectorizer.Count,False,3,1,810,0.9286911669890393
Vectorizer.Count,False,3,1,910,0.9302385557704707
Vectorizer.Count,False,3,1,1010,0.9306254029658285
Vectorizer.Count,False,3,1,1110,0.9303675048355899
Vectorizer.Count,False,3,1,1210,0.9304964539007092
Vectorizer.Count,False,3,1,1310,0.9295938104448743
Vectorizer.Count,False,3,1,1410,0.929464861379755
Vectorizer.Count,False,3,1,1510,0.9292069632495165
Vectorizer.Count,False,3,2,10,0.8905222437137331
Vectorizer.Count,False,3,2,110,0.9239200515796261
Vectorizer.Count,False,3,2,210,0.9255963894261766
Vectorizer.Count,False,3,2,310,0.9308833010960671
Vectorizer.Count,False,3,2,410,0.9315280464216634
Vectorizer.Count,False,3,2,510,0.9304964539007092
Vectorizer.Count,False,3,2,610,0.9304964539007092
Vectorizer.Count,False,3,2,710,0.9302385557704707
Vectorizer.Count,False,3,2,810,0.9311411992263056
Vectorizer.Count,False,3,2,910,0.9335912314635719
Vectorizer.Count,False,3,2,1010,0.9330754352030948
Vectorizer.Count,False,3,2,1110,0.9316569954867827
Vectorizer.Count,False,3,2,1210,0.9313990973565441
Vectorizer.Count,False,3,2,1310,0.9319148936170213
Vectorizer.Count,False,3,2,1410,0.9321727917472599
Vectorizer.Count,False,3,2,1510,0.9324306898774984
Vectorizer.Count,False,3,3,10,0.8735009671179884
Vectorizer.Count,False,3,3,110,0.9195357833655706
Vectorizer.Count,False,3,3,210,0.9231463571889104
Vectorizer.Count,False,3,3,310,0.9301096067053514
Vectorizer.Count,False,3,3,410,0.9308833010960671
Vectorizer.Count,False,3,3,510,0.929464861379755
Vectorizer.Count,False,3,3,610,0.9297227595099935
Vectorizer.Count,False,3,3,710,0.9302385557704707
Vectorizer.Count,False,3,3,810,0.9303675048355899
Vectorizer.Count,False,3,3,910,0.9323017408123792
Vectorizer.Count,False,3,3,1010,0.9329464861379755
Vectorizer.Count,False,3,3,1110,0.9323017408123792
Vectorizer.Count,False,3,3,1210,0.9321727917472599
Vectorizer.Count,False,3,3,1310,0.9316569954867827
Vectorizer.Count,False,3,3,1410,0.9323017408123792
Vectorizer.Count,False,3,3,1510,0.9323017408123792
Vectorizer.Count,False,3,4,10,0.8573823339780786
Vectorizer.Count,False,3,4,110,0.9164410058027079
Vectorizer.Count,False,3,4,210,0.9209542230818827
Vectorizer.Count,False,3,4,310,0.9283043197936814
Vectorizer.Count,False,3,4,410,0.9288201160541586
Vectorizer.Count,False,3,4,510,0.9286911669890393
Vectorizer.Count,False,3,4,610,0.9290780141843972
Vectorizer.Count,False,3,4,710,0.9281753707285623
Vectorizer.Count,False,3,4,810,0.9298517085751128
Vectorizer.Count,False,3,4,910,0.9303675048355899
Vectorizer.Count,False,3,4,1010,0.9304964539007092
Vectorizer.Count,False,3,4,1110,0.9302385557704707
Vectorizer.Count,False,3,4,1210,0.9301096067053514
Vectorizer.Count,False,3,4,1310,0.9304964539007092
Vectorizer.Count,False,3,4,1410,0.9308833010960671
Vectorizer.Count,False,3,4,1510,0.9302385557704707
Vectorizer.Count,False,3,5,10,0.8340425531914893
Vectorizer.Count,False,3,5,110,0.9136041263700838
Vectorizer.Count,False,3,5,210,0.9187620889748549
Vectorizer.Count,False,3,5,310,0.9266279819471309
Vectorizer.Count,False,3,5,410,0.928046421663443
Vectorizer.Count,False,3,5,510,0.9288201160541586
Vectorizer.Count,False,3,5,610,0.9283043197936814
Vectorizer.Count,False,3,5,710,0.9274016763378465
Vectorizer.Count,False,3,5,810,0.9288201160541586
Vectorizer.Count,False,3,5,910,0.9310122501611864
Vectorizer.Count,False,3,5,1010,0.9307543520309478
Vectorizer.Count,False,3,5,1110,0.9311411992263056
Vectorizer.Count,False,3,5,1210,0.9306254029658285
Vectorizer.Count,False,3,5,1310,0.9310122501611864
Vectorizer.Count,False,3,5,1410,0.9312701482914248
Vectorizer.Count,False,3,5,1510,0.9307543520309478
Vectorizer.Count,False,3,6,10,0.8122501611863314
Vectorizer.Count,False,3,6,110,0.9120567375886525
Vectorizer.Count,False,3,6,210,0.9177304964539007
Vectorizer.Count,False,3,6,310,0.9258542875564152
Vectorizer.Count,False,3,6,410,0.927143778207608
Vectorizer.Count,False,3,6,510,0.9270148291424887
Vectorizer.Count,False,3,6,610,0.9274016763378465
Vectorizer.Count,False,3,6,710,0.9274016763378465
Vectorizer.Count,False,3,6,810,0.928046421663443
Vectorizer.Count,False,3,6,910,0.9290780141843972
Vectorizer.Count,False,3,6,1010,0.9279174725983237
Vectorizer.Count,False,3,6,1110,0.9293359123146357
Vectorizer.Count,False,3,6,1210,0.9286911669890393
Vectorizer.Count,False,3,6,1310,0.9297227595099935
Vectorizer.Count,False,3,6,1410,0.9297227595099935
Vectorizer.Count,False,3,6,1510,0.9299806576402321
Vectorizer.Count,False,3,7,10,0.7794970986460348
Vectorizer.Count,False,3,7,110,0.9094777562862669
Vectorizer.Count,False,3,7,210,0.9154094132817537
Vectorizer.Count,False,3,7,310,0.9240490006447454
Vectorizer.Count,False,3,7,410,0.9257253384912959
Vectorizer.Count,False,3,7,510,0.9257253384912959
Vectorizer.Count,False,3,7,610,0.9241779497098646
Vectorizer.Count,False,3,7,710,0.9249516441005803
Vectorizer.Count,False,3,7,810,0.9255963894261766
Vectorizer.Count,False,3,7,910,0.9284332688588007
Vectorizer.Count,False,3,7,1010,0.9277885235332044
Vectorizer.Count,False,3,7,1110,0.9279174725983237
Vectorizer.Count,False,3,7,1210,0.9274016763378465
Vectorizer.Count,False,3,7,1310,0.9275306254029658
Vectorizer.Count,False,3,7,1410,0.927143778207608
Vectorizer.Count,False,3,7,1510,0.9277885235332044
Vectorizer.Count,False,3,8,10,0.7402965828497743
Vectorizer.Count,False,3,8,110,0.9047066408768536
Vectorizer.Count,False,3,8,210,0.914119922630561
Vectorizer.Count,False,3,8,310,0.9212121212121213
Vectorizer.Count,False,3,8,410,0.9228884590586718
Vectorizer.Count,False,3,8,510,0.9227595099935525
Vectorizer.Count,False,3,8,610,0.9230174081237911
Vectorizer.Count,False,3,8,710,0.9218568665377176
Vectorizer.Count,False,3,8,810,0.9231463571889104
Vectorizer.Count,False,3,8,910,0.9267569310122502
Vectorizer.Count,False,3,8,1010,0.9258542875564152
Vectorizer.Count,False,3,8,1110,0.9252095422308189
Vectorizer.Count,False,3,8,1210,0.9257253384912959
Vectorizer.Count,False,3,8,1310,0.9259832366215345
Vectorizer.Count,False,3,8,1410,0.9268858800773694
Vectorizer.Count,False,3,8,1510,0.9263700838168923
Vectorizer.Count,False,3,9,10,0.7018697614442295
Vectorizer.Count,False,3,9,110,0.9025145067698259
Vectorizer.Count,False,3,9,210,0.9110251450676983
Vectorizer.Count,False,3,9,310,0.9186331399097356
Vectorizer.Count,False,3,9,410,0.9212121212121213
Vectorizer.Count,False,3,9,510,0.9217279174725983
Vectorizer.Count,False,3,9,610,0.921083172147002
Vectorizer.Count,False,3,9,710,0.9199226305609284
Vectorizer.Count,False,3,9,810,0.9212121212121213
Vectorizer.Count,False,3,9,910,0.9245647969052224
Vectorizer.Count,False,3,9,1010,0.9241779497098646
Vectorizer.Count,False,3,9,1110,0.9239200515796261
Vectorizer.Count,False,3,9,1210,0.9236621534493875
Vectorizer.Count,False,3,9,1310,0.9235332043842682
Vectorizer.Count,False,3,9,1410,0.9244358478401031
Vectorizer.Count,False,3,9,1510,0.9236621534493875
Vectorizer.Count,False,3,10,10,0.6364925854287556
Vectorizer.Count,False,3,10,110,0.898388136686009
Vectorizer.Count,False,3,10,210,0.9065119277885235
Vectorizer.Count,False,3,10,310,0.9181173436492586
Vectorizer.Count,False,3,10,410,0.9187620889748549
Vectorizer.Count,False,3,10,510,0.9186331399097356
Vectorizer.Count,False,3,10,610,0.9195357833655706
Vectorizer.Count,False,3,10,710,0.9176015473887814
Vectorizer.Count,False,3,10,810,0.91785944551902
Vectorizer.Count,False,3,10,910,0.9213410702772404
Vectorizer.Count,False,3,10,1010,0.9208252740167634
Vectorizer.Count,False,3,10,1110,0.9203094777562862
Vectorizer.Count,False,3,10,1210,0.9195357833655706
Vectorizer.Count,False,3,10,1310,0.9209542230818827
Vectorizer.Count,False,3,10,1410,0.9236621534493875
Vectorizer.Count,False,3,10,1510,0.9230174081237911
Vectorizer.Count,False,4,1,10,0.9148936170212766
Vectorizer.Count,False,4,1,110,0.9259832366215345
Vectorizer.Count,False,4,1,210,0.9246937459703417
Vectorizer.Count,False,4,1,310,0.9283043197936814
Vectorizer.Count,False,4,1,410,0.9268858800773694
Vectorizer.Count,False,4,1,510,0.9279174725983237
Vectorizer.Count,False,4,1,610,0.9267569310122502
Vectorizer.Count,False,4,1,710,0.9249516441005803
Vectorizer.Count,False,4,1,810,0.9258542875564152
Vectorizer.Count,False,4,1,910,0.9272727272727272
Vectorizer.Count,False,4,1,1010,0.9264990328820116
Vectorizer.Count,False,4,1,1110,0.928046421663443
Vectorizer.Count,False,4,1,1210,0.9277885235332044
Vectorizer.Count,False,4,1,1310,0.9277885235332044
Vectorizer.Count,False,4,1,1410,0.9276595744680851
Vectorizer.Count,False,4,1,1510,0.9272727272727272
Vectorizer.Count,False,4,2,10,0.8927143778207608
Vectorizer.Count,False,4,2,110,0.9230174081237911
Vectorizer.Count,False,4,2,210,0.9243068987749838
Vectorizer.Count,False,4,2,310,0.9306254029658285
Vectorizer.Count,False,4,2,410,0.9303675048355899
Vectorizer.Count,False,4,2,510,0.9290780141843972
Vectorizer.Count,False,4,2,610,0.9288201160541586
Vectorizer.Count,False,4,2,710,0.9297227595099935
Vectorizer.Count,False,4,2,810,0.9306254029658285
Vectorizer.Count,False,4,2,910,0.9329464861379755
Vectorizer.Count,False,4,2,1010,0.9330754352030948
Vectorizer.Count,False,4,2,1110,0.9320438426821406
Vectorizer.Count,False,4,2,1210,0.9319148936170213
Vectorizer.Count,False,4,2,1310,0.9321727917472599
